Time (days);Tconv_Normal;Treg_Normal;IL2_Normal;Mreg_Normal;Tconv_Autoimmune;Treg_Autoimmune;IL2_Autoimmune;Mreg_Autoimmune;Tconv_Cancer;Treg_Cancer;IL2_Cancer;Mreg_Cancer
14.14141414;7.935926034;15.26173188;9.364656073;6.762398158;10.21914467;21.09266064;11.05977245;7.858926165;5.192086946;12.72168579;5.070382369;9.967927017
15.15151515;7.05395527;15.5121547;7.258370493;5.509420503;11.22044452;25.38957166;9.399343733;10.33173598;5.524238282;7.944729335;6.804408047;12.40372201
16.16161616;6.896467084;17.96845985;7.299480252;6.991733362;7.162493522;24.60153889;9.997775647;11.63327941;3.998376765;10.29326967;5.017637224;10.0294207
17.17171717;5.726850836;14.78190743;6.874624094;7.441069265;5.681442341;23.33442582;7.675217773;7.127548393;4.456594379;15.28432709;4.192549469;8.127450927
18.18181818;4.802851271;18.20734563;4.429961852;7.080657472;4.073678907;30.78540531;8.768716573;10.90655225;2.479926331;9.07834005;3.965411617;13.50577761
19.19191919;4.266427722;15.18509316;5.497422261;5.316197839;4.930312575;26.66125027;9.083400801;13.75214025;2.685708771;10.81818707;3.665857617;12.62623
20.2020202;3.651137335;16.08614224;5.694564761;6.376448163;3.859784423;21.69205831;4.192313321;12.59317329;3.966632946;9.000815414;3.067078641;12.64443146
21.21212121;3.045159858;14.61012209;4.950950951;7.036730486;3.046767604;19.74766721;4.461310064;10.61045028;2.646756322;13.39293141;3.521559716;9.944134302
22.22222222;2.79861029;15.98786027;4.20321981;7.566196114;3.785128567;28.10790206;4.441575018;16.01853078;2.312499064;11.59231944;3.415674814;12.07569971
23.23232323;2.462470881;14.51870529;3.684998032;5.958944042;2.7018295;21.32987855;4.94694219;14.64485453;2.23758076;11.34538704;3.496142908;12.66228559
24.24242424;2.454397714;15.18056995;3.548997873;6.894566013;2.004893875;23.43014929;3.185932867;11.08615695;1.595504605;9.163261115;3.183475114;9.577655957
25.25252525;1.849324578;13.94884983;3.17987705;6.564192939;2.415766766;30.4942209;2.653981851;15.63934511;1.591967329;7.93325964;2.422219008;14.67078439
26.26262626;1.922389174;14.8923829;3.645841989;7.336016568;1.717582888;21.55939308;2.816391503;12.92655774;1.387020186;8.399169798;1.651101996;13.6922453
27.27272727;1.823970532;13.94995711;2.316781666;7.260939241;1.727338892;19.94636666;2.974154943;15.16108398;1.363150044;11.51377095;2.009418429;12.67213765
28.28282828;1.633024044;17.18074653;2.636314324;7.568522675;1.495123534;19.25805336;2.424687272;17.47443804;1.148485464;10.20272088;1.987969932;13.05124655
29.29292929;1.480860776;11.92895372;2.816730814;7.967494126;1.512640923;18.58844392;2.511710652;17.92594312;1.114425351;7.759103877;1.750886014;13.06655878
30.3030303;1.471824401;12.02101609;2.718268855;6.422940732;0.959726601;22.99207988;2.085771342;17.93251171;1.098765676;5.729401844;1.876403964;10.9997175
31.31313131;1.328515512;15.76794618;2.030713552;7.100290793;1.034574114;15.11558292;1.643729636;17.04326469;1.022350764;4.829339429;1.546610596;13.97948301
32.32323232;1.168605144;12.00577107;1.805120167;7.631365741;1.110437018;17.45019449;2.24447382;13.0016102;0.990251276;6.598912619;1.47743313;18.16993405
33.33333333;0.955496641;12.93239586;1.843008848;8.811214149;0.970258832;16.07817263;1.745625361;17.83379489;0.490484844;3.605214963;1.728999115;12.05664821
34.34343434;0.912085914;11.6636469;2.089508144;6.730080639;0.78419437;18.00255325;2.109053729;16.52631627;0.503826132;7.067109439;1.59627509;12.06401632
35.35353535;0.938493058;13.29239453;1.547051853;7.859722665;0.93277436;15.41752087;1.878026493;22.46333442;0.432577769;6.99056535;1.649965445;13.51636982
36.36363636;0.874390648;12.35636133;1.543903338;6.732145807;0.480976407;15.87011423;1.798798177;18.26712459;0.73224719;4.496431513;0.974742816;12.04362604
37.37373737;0.834069984;11.49800907;1.729125379;8.062036501;0.74530826;15.90605432;1.599107219;18.75759766;0.48792365;5.764033776;1.284359449;15.15944964
38.38383838;0.688116768;11.12703785;1.66517596;7.265576368;0.767463515;17.60978201;1.584574469;18.35624416;0.340335878;6.803667771;1.278570453;17.54818291
39.39393939;0.81703229;11.08677293;1.368774547;8.369354868;0.560679735;15.37435778;1.528935392;18.65999469;0.447705959;5.532007044;1.396611614;15.82068323
40.4040404;0.580253492;11.10972315;1.667882274;7.233050151;0.585422299;20.88608652;1.564770855;19.27343234;0.436858857;6.158957981;1.258176168;16.77831354
41.41414141;0.658859323;10.43003256;1.55809323;9.401577552;0.614801526;14.4787749;0.922607137;17.48937219;0.351557877;6.013738447;1.011899787;20.21994696
42.42424242;0.548529805;9.004008539;1.265054378;7.276132965;0.348343698;14.14024029;1.281369761;26.20564321;0.328691869;3.197396565;1.161331597;12.98573846
43.43434343;0.522624395;9.786558628;1.377934995;8.596044127;0.472647435;13.96702466;1.383512913;14.2147266;0.358571174;3.735173209;0.998858779;9.454812879
44.44444444;0.494388252;10.53032849;1.261907543;10.1167013;0.434439228;15.5811935;0.923180368;25.29694114;0.258845534;2.122294789;0.726417132;17.69666146
45.45454545;0.492242953;8.163627629;1.120082169;8.348667619;0.410987382;12.6604806;1.253757415;29.37317343;0.3055397;4.284817224;0.832129369;15.3719496
46.46464646;0.425276561;9.287933194;1.27270213;7.914723133;0.374826287;13.53349455;1.030269857;19.39006058;0.244971904;2.907863369;1.30305213;18.42780294
47.47474747;0.374149425;7.139463843;1.125707611;8.66177497;0.383060185;10.98630069;1.081855493;20.91604444;0.217689212;3.646103579;1.014202275;9.366667081
48.48484848;0.392608568;7.14732561;1.163401852;8.289159255;0.341091213;12.7826656;1.197705646;21.0858178;0.201257039;3.000549901;0.757230055;15.0848226
49.49494949;0.329718706;8.041800937;1.117308048;7.069872755;0.285445746;10.02761922;0.937509022;24.43891883;0.267740169;3.754618937;0.816319213;17.98073765
50.50505051;0.35272771;8.111838948;1.196854376;8.821358799;0.30986731;9.775044572;1.10140775;28.18525062;0.234572623;3.776686658;0.908259766;14.17433481
51.51515152;0.276623632;6.749124215;1.104725569;8.386002132;0.276593054;14.0283082;0.836073486;19.28361765;0.194487519;3.292095434;1.031303023;18.51321004
52.52525253;0.317983975;10.00100717;1.081264189;8.874746423;0.178814831;12.93006361;1.009132736;23.79361657;0.192352079;2.60906031;1.077675366;17.22499079
53.53535354;0.312406462;7.452707119;0.965124253;8.565286847;0.238091501;8.465611247;1.221190755;24.74318506;0.209669924;2.411345847;1.121151579;17.37343742
54.54545455;0.248302104;6.619249656;0.924372899;8.015371461;0.217692047;10.89014609;0.931936634;25.37190557;0.120157104;2.417771839;0.760386764;18.28158976
55.55555556;0.31282249;5.341681057;1.012768003;6.657361267;0.177030517;10.13737872;1.085112504;29.82697;0.14234759;2.267666014;0.789692554;24.26993289
56.56565657;0.228577205;7.054620983;0.931007002;7.068782515;0.233448417;8.425665758;0.701971574;24.61186866;0.161807844;2.66484397;0.781405451;17.53828717
57.57575758;0.210439142;6.579629655;0.837458516;8.077069839;0.178310813;10.23694338;0.59950596;31.16399158;0.126035661;1.865158499;0.719214722;11.50165111
58.58585859;0.215195382;5.576629778;1.072072111;8.387410485;0.16208376;7.929811945;0.664636066;19.25116968;0.11320274;2.533298846;0.670036033;22.87256045
59.5959596;0.161525247;5.882653849;0.805960405;8.537753258;0.175171759;8.250964446;0.616658543;20.8393863;0.073920751;1.516991073;0.758453562;21.19964758
60.60606061;0.176387893;5.52566816;0.886835606;8.524369392;0.139104309;9.827951876;0.717380437;20.22785493;0.122325924;1.863338773;0.863989887;17.52401261
61.61616162;0.159496094;5.228780269;0.786892181;7.310584831;0.132584095;7.259258865;0.434134858;26.15102237;0.082580515;2.308555628;0.786899315;12.18125104
62.62626263;0.201827685;5.44669222;0.706820148;8.51207561;0.124920825;8.048257246;0.909998723;31.10910323;0.103589162;2.393514728;0.596736523;19.33749345
63.63636364;0.196866146;5.587501885;0.671812758;7.393617861;0.116768954;5.8506363;0.965277862;27.09397829;0.082183642;1.886781493;0.595015266;15.62274781
64.64646465;0.173275716;4.552645442;0.810653566;8.341545948;0.114679718;6.727421928;0.70135659;26.50921517;0.069610575;2.116336412;0.726926934;16.82668857
65.65656566;0.132173726;4.71067306;0.514240914;6.92240315;0.098396991;5.964663076;0.663118404;25.10568962;0.075575005;0.70505867;0.79094441;11.93248325
66.66666667;0.134539483;4.011208012;0.867878758;6.583180914;0.090474243;6.351965453;0.627286408;33.78852457;0.056834358;1.215361371;0.467730692;22.70246412
67.67676768;0.125051583;4.489790794;0.837350888;6.551460283;0.057433279;6.999936651;0.757968302;19.1551608;0.051997841;1.600337221;0.613770992;20.31889242
68.68686869;0.138418569;4.289485676;0.647679884;7.968767755;0.085144422;5.463900999;0.493424913;24.76155011;0.054537835;1.063168008;0.729653693;16.8287509
69.6969697;0.11990465;3.894081439;0.709879231;7.290421349;0.070434117;7.02830643;0.69884318;33.65044407;0.034643734;1.24949273;0.777042187;21.99164625
70.70707071;0.112755424;4.26981471;0.801996964;6.613100264;0.088204133;4.44595366;0.55337447;30.57734095;0.043835763;1.214381566;0.549484197;26.77528441
71.71717172;0.128306922;3.115152438;0.66958209;7.952924567;0.061222058;5.697392875;0.567628197;27.09606077;0.047520958;1.354553189;0.696164384;19.94870398
72.72727273;0.103143821;3.508000406;0.654105388;7.105336329;0.078152084;5.278535779;0.546215669;33.96358362;0.039227294;1.144698094;0.559399125;19.01787754
73.73737374;0.089584483;3.922269443;0.679946502;6.920419954;0.055749343;5.197242689;0.616891685;27.79887332;0.044416873;1.149933423;0.639938413;18.96985813
74.74747475;0.098470129;3.60054079;0.697842812;7.862342089;0.065770596;3.7151969;0.632912002;28.55633686;0.036918408;0.652617659;0.649719572;20.74573844
75.75757576;0.07864334;3.185990044;0.682035663;7.805838292;0.054462922;5.087686078;0.487943166;23.33679206;0.040878511;0.436820545;0.766002967;18.97604046
76.76767677;0.081237218;3.298863599;0.703928189;6.883398952;0.04269822;4.608971013;0.432756317;37.64779211;0.039035343;0.785270083;0.59701955;15.50251359
77.77777778;0.081522957;3.086073826;0.600701265;8.074231784;0.036115044;5.093295934;0.542641524;29.58142227;0.026228154;1.309242033;0.503658705;20.61876049
78.78787879;0.079457763;3.289918252;0.683149903;7.248074758;0.045466388;4.134959472;0.513734861;35.23213034;0.032998401;0.99370533;0.531189688;21.32923514
79.7979798;0.074463912;2.847308294;0.614032972;7.096666038;0.047489119;3.833011613;0.479910404;30.18045611;0.03904114;0.853282671;0.528404495;24.19876854
80.80808081;0.066856994;3.006758422;0.537612412;8.642431505;0.046063686;2.677465245;0.397938512;34.06762068;0.030207161;1.019843644;0.564449404;15.5168099
81.81818182;0.056574359;2.40772388;0.64332713;7.665535401;0.042592529;3.364075518;0.491645142;32.46814525;0.030794637;0.606447995;0.523135108;17.18101408
82.82828283;0.063492807;2.812485314;0.567149905;6.425517282;0.036000265;2.935151591;0.496176248;26.50772258;0.021503107;0.800556652;0.51751999;22.06866343
83.83838384;0.057216856;2.381987981;0.613925317;6.910921509;0.03921553;2.376644691;0.547152078;33.49074734;0.027041711;0.782104742;0.456055183;24.41607077
84.84848485;0.049509212;2.387477478;0.573905303;6.575958779;0.036201283;3.517259453;0.582637708;36.26942631;0.023754201;0.516418475;0.529373545;23.47409501
85.85858586;0.04707006;2.439415654;0.556443384;6.572165802;0.023810442;2.378777561;0.415611291;31.80865488;0.016941553;0.833084213;0.452478603;21.22486759
86.86868687;0.046451399;2.352150081;0.457822325;5.909143746;0.033448088;2.519072067;0.46385888;28.27565265;0.016326304;0.625511758;0.359355109;14.82549501
87.87878788;0.043009128;2.171577103;0.544165818;7.838413429;0.026603039;2.141547274;0.382553413;25.58561468;0.02094246;0.494325517;0.364181656;11.92182549
88.88888889;0.047830119;2.10745074;0.519378658;6.103803055;0.023595735;3.017862565;0.374828609;45.04739011;0.013004799;0.417678514;0.595661554;25.31118094
89.8989899;0.041804485;2.007357109;0.529730287;6.179581685;0.028019389;2.571244363;0.374883945;35.91141278;0.012074918;0.786203753;0.529661473;19.80032836
90.90909091;0.041890367;2.300573152;0.500648722;6.958306924;0.022498488;2.445712906;0.586376513;32.22826655;0.006576688;0.754236503;0.315711119;14.28657808
91.91919192;0.040480004;1.847782258;0.510503488;6.650406189;0.027251404;2.062313164;0.415057298;41.6398447;0.01487731;0.734405812;0.551438136;23.82694593
92.92929293;0.036361544;1.713956049;0.493852074;6.922688546;0.019879049;2.814556629;0.454615398;30.30885798;0.012981821;0.551343615;0.491441709;22.74105987
93.93939394;0.039216112;1.964266417;0.590813112;6.044025389;0.022680209;2.433807373;0.442647997;25.45839528;0.01112568;0.443740852;0.358054181;20.43332546
94.94949495;0.035412961;1.7610149;0.584855089;5.973007526;0.017424308;1.962750842;0.394486512;36.62151074;0.006771949;0.420314002;0.334338066;16.9626902
95.95959596;0.028379269;1.568404251;0.37300804;6.110910537;0.018957681;1.564397202;0.415570554;36.78910544;0.009965499;0.522938748;0.487639528;15.01144512
96.96969697;0.027232331;1.633767927;0.483524496;7.60273246;0.01889943;2.181570817;0.435977269;36.23721044;0.007249286;0.463685556;0.32730827;21.01607818
97.97979798;0.030697878;1.463130285;0.42016487;6.665747617;0.016290349;1.352538027;0.406619904;35.16410014;0.009426856;0.300203006;0.411351265;16.22106525
98.98989899;0.023148109;1.772093324;0.509637151;6.008895483;0.016180093;1.397382565;0.315562895;39.71985546;0.007020567;0.377885993;0.271537056;24.20270862
100;0.021025744;1.640320704;0.44507679;7.030510019;0.014594544;1.827836207;0.372984248;34.65458109;0.007470066;0.376248688;0.41191545;28.46405786
